x1,x2,x3,x4,x5
106,94,103,97,100
98,100,96,103,93
104,102,95,101,108
96,100,95,103,101
98,101,107,104,95
102,105,100,95,98
105,103,109,102,96
94,101,93,99,98
113,110,119,116,122
101,106,103,99,96
98,101,99,92,105
100,105,106,101,108
99,102,111,108,105
102,106,99,109,104
108,112,106,99,105
101,106,102,107,109
110,101,107,98,104
108,111,101,106,104
104,111,105,98,107
100,106,101,105,108
77,80,83,86,89
102,100,98,105,95
101,98,99,105,92
97,102,98,103,105
103,106,97,94,100
